Market Cap,Price,Volume,Date
124357932.92103656,5.28424438726287,245857265.66415152,2020-09-22
124357932.92103656,5.28424438726287,245857265.66415152,2020-09-23
86335245.96938415,3.491229168216385,97342432.17482528,2020-09-24
112209367.28386834,4.573890580327729,69665168.04927005,2020-09-25
115431881.83108865,4.702973876095848,41950754.98125503,2020-09-26
111216735.78175372,4.524678243432584,21176150.392053947,2020-09-27
114464431.45007946,4.652979768192462,17356907.97055633,2020-09-28
102464370.65740834,4.206658980271183,14748322.291531274,2020-09-29
101476428.14556378,4.138614653765331,12477984.35950614,2020-09-30
106075718.1781186,4.3273324024062845,12785136.09148073,2020-10-01
101765148.94373225,4.155602631208861,17312305.607966352,2020-10-02
95235623.92130172,3.9099099574382943,20480180.81475524,2020-10-03
98705092.3254942,4.028153546757421,8157800.073572848,2020-10-04
97280078.97841498,3.9688527298707648,8341041.062748824,2020-10-05
97598132.46152855,3.983027284959082,5274554.213608636,2020-10-06
86535411.99838454,3.541747372273497,8620566.607562283,2020-10-07
84321271.96959245,3.4413650446594928,10136144.152725177,2020-10-08
95666267.60295922,3.9083820710299406,9112782.415372472,2020-10-09
104353473.9399411,4.243203228389407,8083299.110651138,2020-10-10
98544391.67879473,4.026138967282433,8854861.444740139,2020-10-11
100492812.71403536,4.104038313365283,6653417.800167322,2020-10-12
108582519.711606,4.415432337070556,9407445.188746862,2020-10-13
110080680.83523569,4.483415556165992,9879743.142588776,2020-10-14
101614515.74379374,4.149229943053339,6324588.955505573,2020-10-15
101179434.49459964,4.130905147133307,4178780.246160479,2020-10-16
99262361.22632042,4.048449316015311,6092849.116656564,2020-10-17
102464240.61286058,4.193864385042294,4016426.545291323,2020-10-18
101052321.94285494,4.125095246738391,2393108.0246924674,2020-10-19
99287196.09997629,4.054191127181616,3814046.050018597,2020-10-20
93294082.00219084,3.8084935063375434,6488499.338391293,2020-10-21
96953352.82761252,3.961184523320031,4093830.9432037342,2020-10-22
105613659.25748108,4.3329499671601965,22188059.092310872,2020-10-23
104209761.0585092,4.26258566547734,17864243.589453157,2020-10-24
102615999.01554418,4.189666942085328,15284821.365305046,2020-10-25
101220228.0017595,4.131025010075838,14195022.66987678,2020-10-26
101700425.3400067,4.151182229295094,20491070.63553679,2020-10-27
101200482.43172462,4.132092090719307,15982829.478286523,2020-10-28
99642110.96420506,4.066853657222082,17694239.251827728,2020-10-29
92611506.83782682,3.782075122627534,19176341.03403596,2020-10-30
91254971.87654056,3.723757370409702,25860480.27362753,2020-10-31
89124828.89025648,3.637902514610184,18619900.779043667,2020-11-01
90268828.1074171,3.6877924672575046,15242039.906739367,2020-11-02
88946751.03086248,3.623914349704928,17509659.125208754,2020-11-03
81232558.92827202,3.3207164787496954,21262489.69767414,2020-11-04
